Date,Open,High,Low,Close,Volume
5/30/24,190.76,192.18,190.63,191.29,"49,947,941"
5/29/24,189.61,192.25,189.51,190.29,"53,068,020"
5/28/24,191.51,193,189.1,189.99,"52,280,047"
5/24/24,188.82,190.58,188.04,189.98,"36,326,980"
5/23/24,190.98,191,186.63,186.88,"51,005,922"
5/22/24,192.27,192.82,190.27,190.9,"34,648,551"
5/21/24,191.09,192.73,190.92,192.35,"42,309,398"
5/20/24,189.33,191.92,189.01,191.04,"44,361,281"
5/17/24,189.51,190.81,189.18,189.87,"41,282,930"
5/16/24,190.47,191.1,189.66,189.84,"52,845,230"
5/15/24,187.91,190.65,187.37,189.72,"70,399,992"
5/14/24,187.51,188.3,186.29,187.43,"52,393,621"
5/13/24,185.44,187.1,184.62,186.28,"72,044,805"
5/10/24,184.9,185.09,182.13,183.05,"50,759,500"
5/9/24,182.56,184.66,182.11,184.57,"48,982,969"
5/8/24,182.85,183.07,181.45,182.74,"45,057,090"
5/7/24,183.45,184.9,181.32,182.4,"77,305,766"
5/6/24,182.35,184.2,180.42,181.71,"78,569,672"
5/3/24,186.65,187,182.66,183.38,"163,224,094"
5/2/24,172.51,173.42,170.89,173.03,"94,214,922"
5/1/24,169.58,172.71,169.11,169.3,"50,383,152"
4/30/24,173.33,174.99,170,170.33,"65,934,781"
4/29/24,173.37,176.03,173.1,173.5,"68,169,422"
4/26/24,169.88,171.34,169.18,169.3,"44,838,352"
4/25/24,169.53,170.61,168.15,169.89,"50,558,328"
4/24/24,166.54,169.3,166.21,169.02,"48,251,840"
4/23/24,165.35,167.05,164.92,166.9,"49,537,762"
4/22/24,165.52,167.26,164.77,165.84,"48,116,441"
4/19/24,166.21,166.4,164.08,165,"68,149,375"
4/18/24,168.03,168.64,166.55,167.04,"43,122,898"
4/17/24,169.61,170.65,168,168,"50,901,207"
4/16/24,171.75,173.76,168.27,169.38,"73,711,242"
4/15/24,175.36,176.63,172.5,172.69,"73,531,766"
4/12/24,174.26,178.36,174.21,176.55,"101,670,898"
4/11/24,168.34,175.46,168.16,175.04,"91,070,281"
4/10/24,168.8,169.09,167.11,167.78,"49,709,340"
4/9/24,168.7,170.08,168.35,169.67,"42,451,207"
4/8/24,169.03,169.2,168.24,168.45,"37,425,512"
4/5/24,169.59,170.39,168.95,169.58,"42,104,832"
4/4/24,170.29,171.92,168.82,168.82,"53,704,391"
4/3/24,168.79,170.68,168.58,169.65,"47,691,719"
4/2/24,169.08,169.34,168.23,168.84,"49,329,480"
4/1/24,171.19,171.25,169.48,170.03,"46,240,500"
3/28/24,171.75,172.23,170.51,171.48,"65,672,688"
3/27/24,170.41,173.6,170.11,173.31,"60,273,273"
3/26/24,170,171.42,169.58,169.71,"57,388,449"
3/25/24,170.57,171.94,169.45,170.85,"54,288,328"
3/22/24,171.76,173.05,170.06,172.28,"71,160,141"
3/21/24,177.05,177.49,170.84,171.37,"106,181,297"
3/20/24,175.72,178.67,175.09,178.67,"53,423,102"
3/19/24,174.34,176.61,173.03,176.08,"55,215,238"
3/18/24,175.57,177.71,173.52,173.72,"75,604,180"
3/15/24,171.17,172.62,170.29,172.62,"121,752,703"
3/14/24,172.91,174.31,172.05,173,"72,913,516"
3/13/24,172.77,173.19,170.76,171.13,"52,488,688"
3/12/24,173.15,174.03,171.01,173.23,"59,825,367"
3/11/24,172.94,174.38,172.05,172.75,"60,139,473"
3/8/24,169,173.7,168.94,170.73,"76,267,039"
3/7/24,169.15,170.73,168.49,169,"71,765,055"
3/6/24,171.06,171.24,168.68,169.12,"68,587,711"
3/5/24,170.76,172.04,169.62,170.12,"95,132,359"
3/4/24,176.15,176.9,173.79,175.1,"81,510,094"
3/1/24,179.55,180.53,177.38,179.66,"73,563,078"
2/29/24,181.27,182.57,179.53,180.75,"136,682,594"
2/28/24,182.51,183.12,180.13,181.42,"48,953,941"
2/27/24,181.1,183.92,179.56,182.63,"54,318,848"
2/26/24,182.24,182.76,180.65,181.16,"40,867,422"
2/23/24,185.01,185.04,182.23,182.52,"45,119,680"
2/22/24,183.48,184.96,182.46,184.37,"52,292,207"
2/21/24,181.94,182.89,180.66,182.32,"41,529,672"
2/20/24,181.79,182.43,180,181.56,"53,665,551"
2/16/24,183.42,184.85,181.67,182.31,"49,752,473"
2/15/24,183.55,184.49,181.35,183.86,"65,434,500"
2/14/24,185.32,185.53,182.44,184.15,"54,630,520"
2/13/24,185.77,186.21,183.51,185.04,"56,529,527"
2/12/24,188.42,188.67,186.79,187.15,"41,781,930"
2/9/24,188.65,189.99,188,188.85,"45,155,219"
2/8/24,189.39,189.54,187.35,188.32,"40,962,047"
2/7/24,190.64,191.05,188.61,189.41,"53,438,961"
2/6/24,186.86,189.31,186.77,189.3,"43,490,762"
2/5/24,188.15,189.25,185.84,187.68,"69,668,812"
2/2/24,179.86,187.33,179.25,185.85,"102,551,695"
2/1/24,183.99,186.95,183.82,186.86,"64,885,406"
1/31/24,187.04,187.1,184.35,184.4,"55,467,801"
1/30/24,190.94,191.8,187.47,188.04,"55,859,367"
1/29/24,192.01,192.2,189.58,191.73,"47,145,621"
1/26/24,194.27,194.76,191.94,192.42,"44,594,008"
