Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-04-09 09:30:00-04:00,606.0399780273438,606.4199829101562,604.469970703125,604.6199951171875,2595512,0.0,0.0,0.0
2026-04-09 09:35:00-04:00,604.6400146484375,605.8400268554688,604.510009765625,605.510009765625,530703,0.0,0.0,0.0
2026-04-09 09:40:00-04:00,605.5050048828125,606.6400146484375,605.0499877929688,606.4400024414062,548484,0.0,0.0,0.0
2026-04-09 09:45:00-04:00,606.4600219726562,606.6699829101562,605.4500122070312,605.869873046875,610512,0.0,0.0,0.0
2026-04-09 09:50:00-04:00,605.7301025390625,605.7501831054688,604.3300170898438,604.4749755859375,771816,0.0,0.0,0.0
2026-04-09 09:55:00-04:00,604.4619750976562,604.9299926757812,604.1199951171875,604.6849975585938,647129,0.0,0.0,0.0
2026-04-09 10:00:00-04:00,604.760009765625,605.030029296875,604.2000732421875,604.8496704101562,563317,0.0,0.0,0.0
2026-04-09 10:05:00-04:00,604.8001098632812,605.3250122070312,604.3300170898438,604.3566284179688,403068,0.0,0.0,0.0
2026-04-09 10:10:00-04:00,604.3200073242188,605.1199951171875,604.02001953125,604.27001953125,398147,0.0,0.0,0.0
2026-04-09 10:15:00-04:00,604.2100219726562,604.27001953125,603.3900146484375,603.6995239257812,730299,0.0,0.0,0.0
2026-04-09 10:20:00-04:00,603.6900024414062,604.1599731445312,603.540771484375,603.9400024414062,485367,0.0,0.0,0.0
2026-04-09 10:25:00-04:00,603.9299926757812,603.9400024414062,603.0900268554688,603.5349731445312,487660,0.0,0.0,0.0
2026-04-09 10:30:00-04:00,603.5250244140625,603.6705932617188,603.0499877929688,603.4000244140625,482023,0.0,0.0,0.0
2026-04-09 10:35:00-04:00,603.4099731445312,603.6799926757812,603.030029296875,603.6099853515625,376049,0.0,0.0,0.0
2026-04-09 10:40:00-04:00,603.5999755859375,603.9299926757812,603.4500122070312,603.6699829101562,318116,0.0,0.0,0.0
2026-04-09 10:45:00-04:00,603.6500244140625,604.4199829101562,603.64990234375,604.260009765625,294680,0.0,0.0,0.0
2026-04-09 10:50:00-04:00,604.260009765625,604.905029296875,604.1699829101562,604.8499755859375,371407,0.0,0.0,0.0
2026-04-09 10:55:00-04:00,604.8499755859375,605.25,604.5800170898438,604.9749755859375,331171,0.0,0.0,0.0
2026-04-09 11:00:00-04:00,604.9199829101562,605.0399780273438,604.38671875,604.7100219726562,336317,0.0,0.0,0.0
2026-04-09 11:05:00-04:00,604.7412719726562,604.8400268554688,604.3790283203125,604.6387939453125,158718,0.0,0.0,0.0
2026-04-09 11:10:00-04:00,604.6099853515625,605.8800048828125,604.6005249023438,605.77001953125,391641,0.0,0.0,0.0
2026-04-09 11:15:00-04:00,605.7427978515625,606.4401245117188,605.7427978515625,606.364990234375,683147,0.0,0.0,0.0
2026-04-09 11:20:00-04:00,606.3599853515625,606.510009765625,605.9099731445312,606.1599731445312,329277,0.0,0.0,0.0
2026-04-09 11:25:00-04:00,606.1300048828125,606.1300048828125,605.27001953125,605.3699951171875,366845,0.0,0.0,0.0
2026-04-09 11:30:00-04:00,605.3300170898438,607.6900024414062,605.15087890625,606.9500732421875,1093098,0.0,0.0,0.0
2026-04-09 11:35:00-04:00,606.9349975585938,607.4500122070312,606.1599731445312,606.6500244140625,540936,0.0,0.0,0.0
2026-04-09 11:40:00-04:00,606.6199951171875,607.4299926757812,606.6199951171875,607.030029296875,407897,0.0,0.0,0.0
2026-04-09 11:45:00-04:00,607.0300903320312,608.27001953125,606.6199951171875,607.6300048828125,518346,0.0,0.0,0.0
2026-04-09 11:50:00-04:00,607.6199951171875,608.2999877929688,607.5,608.2650146484375,418156,0.0,0.0,0.0
