Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-04-09 09:30:00-04:00,620.3400268554688,620.7100219726562,620.0,620.2000122070312,721587,0.0,0.0,0.0
2026-04-09 09:35:00-04:00,620.2000122070312,620.760009765625,620.0399780273438,620.719970703125,64835,0.0,0.0,0.0
2026-04-09 09:40:00-04:00,620.469970703125,621.219970703125,620.4099731445312,621.0,52414,0.0,0.0,0.0
2026-04-09 09:45:00-04:00,621.02001953125,621.1381225585938,620.489990234375,620.9400024414062,78322,0.0,0.0,0.0
2026-04-09 09:50:00-04:00,620.8499145507812,620.8499145507812,620.25,620.369873046875,99747,0.0,0.0,0.0
2026-04-09 09:55:00-04:00,620.3099975585938,620.7899780273438,620.1799926757812,620.7100219726562,67161,0.0,0.0,0.0
2026-04-09 10:00:00-04:00,620.7890014648438,620.9299926757812,620.3939819335938,620.9149780273438,44635,0.0,0.0,0.0
2026-04-09 10:05:00-04:00,620.8099975585938,621.0800170898438,620.47998046875,620.52001953125,50890,0.0,0.0,0.0
2026-04-09 10:10:00-04:00,620.4849853515625,620.9600219726562,620.2650146484375,620.2899780273438,51372,0.0,0.0,0.0
2026-04-09 10:15:00-04:00,620.25,620.25,619.739990234375,619.9400024414062,67538,0.0,0.0,0.0
2026-04-09 10:20:00-04:00,619.9349975585938,620.260009765625,619.8400268554688,620.0999755859375,53593,0.0,0.0,0.0
2026-04-09 10:25:00-04:00,620.1199951171875,620.1199951171875,619.5499877929688,619.760009765625,41341,0.0,0.0,0.0
2026-04-09 10:30:00-04:00,619.8800048828125,619.9500122070312,619.4000244140625,619.6599731445312,58957,0.0,0.0,0.0
2026-04-09 10:35:00-04:00,619.75,620.0800170898438,619.469970703125,620.0499877929688,37493,0.0,0.0,0.0
2026-04-09 10:40:00-04:00,620.0,620.1749877929688,619.7637939453125,619.8316040039062,38543,0.0,0.0,0.0
2026-04-09 10:45:00-04:00,619.8200073242188,620.4000244140625,619.8200073242188,620.2899780273438,58856,0.0,0.0,0.0
2026-04-09 10:50:00-04:00,620.280029296875,620.656494140625,620.27001953125,620.6400146484375,86132,0.0,0.0,0.0
2026-04-09 10:55:00-04:00,620.6998901367188,620.9600219726562,620.47998046875,620.8200073242188,35214,0.0,0.0,0.0
2026-04-09 11:00:00-04:00,620.7999877929688,620.8400268554688,620.1500244140625,620.48876953125,29399,0.0,0.0,0.0
2026-04-09 11:05:00-04:00,620.52001953125,620.619873046875,620.3565063476562,620.510009765625,33271,0.0,0.0,0.0
2026-04-09 11:10:00-04:00,620.5150146484375,621.25,620.5150146484375,621.2000122070312,55195,0.0,0.0,0.0
2026-04-09 11:15:00-04:00,621.1699829101562,621.844970703125,621.1699829101562,621.8200073242188,49611,0.0,0.0,0.0
2026-04-09 11:20:00-04:00,621.8300170898438,621.8800048828125,621.4650268554688,621.6900024414062,33168,0.0,0.0,0.0
2026-04-09 11:25:00-04:00,621.6900024414062,621.6900024414062,621.2349853515625,621.4161987304688,35604,0.0,0.0,0.0
2026-04-09 11:30:00-04:00,621.3499755859375,623.3300170898438,621.1799926757812,622.75,107272,0.0,0.0,0.0
2026-04-09 11:35:00-04:00,622.7550048828125,623.114990234375,622.1900024414062,622.5150146484375,141992,0.0,0.0,0.0
2026-04-09 11:40:00-04:00,622.719970703125,623.0900268554688,622.6699829101562,622.7750244140625,330439,0.0,0.0,0.0
2026-04-09 11:45:00-04:00,622.7999877929688,623.6099853515625,622.469970703125,623.2849731445312,53106,0.0,0.0,0.0
